team_id,Combat_Engagement_Rate,Skip_Rate,HP_Threshold_Retreat,Enemy_Clear_Rate
T01,0.12,0.85,0.90,0.10
T01,0.08,0.92,0.88,0.07
T01,0.15,0.78,0.82,0.13
T01,0.10,0.88,0.91,0.09
T01,0.20,0.75,0.70,0.18
T02,0.50,0.48,0.52,0.53
T02,0.55,0.42,0.45,0.58
T02,0.48,0.50,0.55,0.49
T02,0.52,0.45,0.48,0.55
T02,0.47,0.53,0.60,0.44
T03,0.91,0.08,0.10,0.93
T03,0.88,0.12,0.07,0.90
T03,0.95,0.05,0.12,0.95
T03,0.85,0.15,0.08,0.87
T03,0.92,0.09,0.05,0.94
T04,0.18,0.80,0.85,0.15
T04,0.22,0.72,0.78,0.20
T04,0.10,0.90,0.92,0.08
T04,0.25,0.68,0.75,0.22
T04,0.14,0.82,0.88,0.12
T05,0.78,0.18,0.15,0.80
T05,0.82,0.12,0.10,0.85
T05,0.75,0.22,0.20,0.78
T05,0.88,0.08,0.07,0.91
T05,0.70,0.28,0.25,0.72
T06,0.45,0.55,0.58,0.42
T06,0.52,0.48,0.50,0.50
T06,0.40,0.60,0.62,0.38
T06,0.58,0.40,0.43,0.60
T06,0.50,0.50,0.55,0.48
T07,0.30,0.65,0.70,0.28
T07,0.35,0.60,0.65,0.33
T07,0.28,0.70,0.72,0.25
T07,0.40,0.55,0.60,0.38
T07,0.32,0.68,0.68,0.30
T08,0.88,0.10,0.08,0.90
T08,0.85,0.14,0.12,0.87
T08,0.92,0.06,0.05,0.94
T08,0.80,0.18,0.15,0.82
T08,0.90,0.08,0.09,0.92
T09,0.55,0.42,0.45,0.57
T09,0.60,0.38,0.40,0.62
T09,0.48,0.50,0.52,0.50
T09,0.65,0.32,0.35,0.68
T09,0.52,0.46,0.48,0.54
T10,0.05,0.95,0.95,0.04
T10,0.08,0.90,0.92,0.06
T10,0.12,0.85,0.88,0.10
T10,0.06,0.93,0.94,0.05
T10,0.10,0.88,0.90,0.08
